model,dataset,schema,features,device,macro_f1,micro_f1,subset_accuracy,ece,train_seconds,predict_latency_ms,throughput,model_size_mb,cost_usd,n_train,n_test,n_labels,seed
naive_bayes_bow,go_emotions,native,bow,cpu,0.21510028695737102,0.38682269958319976,0.26920950801547816,0.01970688437189088,1.3775144999963231,0.02348290031768281,42584.17769831403,54.88981533050537,,43410,5427,28,42
logreg_bow,go_emotions,native,bow,cpu,0.4353499107657544,0.5200778101986939,0.3128800442233278,0.002287857748059112,15.485615500016138,0.018352017687214565,54489.92132874182,12.164453506469727,,43410,5427,28,42
linsvm_bow,go_emotions,native,bow,cpu,0.19287845600981574,0.3484228268721406,0.21743136170996868,0.005382402807315593,23.576431500026956,0.028638713835251746,34917.76920404462,33.55862903594971,,43410,5427,28,42
random_forest_bow,go_emotions,native,bow,cpu,0.22128313222777557,0.40966728080632925,0.2712364105398931,0.0028949004311857648,217.58738500002073,0.775935268096069,1288.7672994342993,4160.648446083069,,43410,5427,28,42
naive_bayes_bow,go_emotions,ekman6,bow,cpu,0.4158015738076721,0.5706966366415999,0.4230698360051594,0.05570627590776506,1.2149608999607153,0.017655076469689942,56640.93280574513,14.827703475952148,,43410,5427,7,42
logreg_bow,go_emotions,ekman6,bow,cpu,0.5570123288735581,0.6253710984514161,0.47392666298138936,0.013214994769690373,7.090611200022977,0.016873650269894166,59263.99943136146,4.146479606628418,,43410,5427,7,42
linsvm_bow,go_emotions,ekman6,bow,cpu,0.31881852968269947,0.49279341111873715,0.359314538419016,0.013821741118505648,9.087549100047909,0.01974046435045816,50657.369667030696,9.495125770568848,,43410,5427,7,42
random_forest_bow,go_emotions,ekman6,bow,cpu,0.357198470822429,0.5526813880126183,0.42491247466371845,0.007946897912078107,97.65425249998225,0.1360803206153667,7348.601145837367,2164.860330581665,,43410,5427,7,42
naive_bayes_bow,go_emotions,sentiment3,bow,cpu,0.5777551913409156,0.6116288659793815,0.45734291505435787,0.08996798852596553,1.2178862000000663,0.01759043670672479,56849.07183786414,9.104544639587402,,43410,5427,4,42
logreg_bow,go_emotions,sentiment3,bow,cpu,0.6178574804355887,0.6511437908496732,0.5037774092500461,0.033449670704018254,5.467495300050359,0.016515017511992025,60550.950023145386,3.0010547637939453,,43410,5427,4,42
linsvm_bow,go_emotions,sentiment3,bow,cpu,0.43079069454400476,0.5307262569832403,0.3956145199926294,0.02556009534947089,6.895633300009649,0.01846878569791451,54145.41141775877,6.057480812072754,,43410,5427,4,42
random_forest_bow,go_emotions,sentiment3,bow,cpu,0.49048809558130363,0.5824096135916296,0.46010687304219644,0.014410701987282526,79.68333119997988,0.0790018242168969,12657.935559241429,1821.901364326477,,43410,5427,4,42
