model,dataset,schema,features,device,macro_f1,micro_f1,subset_accuracy,ece,train_seconds,predict_latency_ms,throughput,model_size_mb,cost_usd,n_train,n_test,n_labels,seed
naive_bayes_bow,go_emotions,ekman6,bow,cpu,0.4158015738076721,0.5706966366415999,0.4230698360051594,0.05570627590776506,1.2149608999607153,0.017655076469689942,56640.93280574513,14.827703475952148,,43410,5427,7,42
logreg_bow,go_emotions,ekman6,bow,cpu,0.5570123288735581,0.6253710984514161,0.47392666298138936,0.013214994769690373,7.090611200022977,0.016873650269894166,59263.99943136146,4.146479606628418,,43410,5427,7,42
linsvm_bow,go_emotions,ekman6,bow,cpu,0.31881852968269947,0.49279341111873715,0.359314538419016,0.013821741118505648,9.087549100047909,0.01974046435045816,50657.369667030696,9.495125770568848,,43410,5427,7,42
random_forest_bow,go_emotions,ekman6,bow,cpu,0.357198470822429,0.5526813880126183,0.42491247466371845,0.007946897912078107,97.65425249998225,0.1360803206153667,7348.601145837367,2164.860330581665,,43410,5427,7,42
