model,dataset,schema,features,device,macro_f1,macro_f1_low,macro_f1_high,micro_f1,micro_f1_low,micro_f1_high,subset_accuracy,ece,train_seconds,predict_latency_ms,throughput,model_size_mb,cost_usd,n_train,n_test,n_labels,seed
hf_distilbert-base-uncased,go_emotions,sentiment3,tfidf,cuda:0,0.6779456058019989,,,0.7075380420441552,,,0.6322093237516123,0.04763916460540313,79.43135125562549,0.26033986349538124,3841.1328429452806,255.45835781097412,,43410,5427,4,42
hf_distilbert-base-uncased,go_emotions,sentiment3,tfidf,cuda:0,0.6823247451067441,,,0.7109154929577465,,,0.640501197715128,0.045661440852194285,77.68305370211601,0.2600691473976077,3845.131227623653,255.45835781097412,,43410,5427,4,43
hf_distilbert-base-uncased,go_emotions,sentiment3,tfidf,cuda:0,0.6839369103755767,,,0.709915611814346,,,0.6368159203980099,0.04398674542385916,78.07173205912113,0.2536896011470013,3941.824952535388,255.45835781097412,,43410,5427,4,44
