model,dataset,schema,features,device,macro_f1,macro_f1_low,macro_f1_high,micro_f1,micro_f1_low,micro_f1_high,subset_accuracy,ece,train_seconds,predict_latency_ms,throughput,model_size_mb,cost_usd,n_train,n_test,n_labels,seed
hf_distilbert-base-uncased,go_emotions,ekman6,tfidf,cuda:0,0.6021482358823279,,,0.6929963138493944,,,0.6124930901050304,0.026891143213795866,78.67974741384387,0.2563333299106407,3901.1704031957374,255.46714687347412,,43410,5427,7,42
hf_distilbert-base-uncased,go_emotions,ekman6,tfidf,cuda:0,0.6107556971165876,,,0.6861636331507334,,,0.6088078127879123,0.031743789623291566,76.86797428503633,0.2590987556093148,3859.5322376146883,255.46714687347412,,43410,5427,7,43
hf_distilbert-base-uncased,go_emotions,ekman6,tfidf,cuda:0,0.6117650061388992,,,0.6861339704450934,,,0.6058595909342178,0.027071986325874365,77.3712692335248,0.25912421690796056,3859.153003654592,255.46714687347412,,43410,5427,7,44
