model,dataset,schema,features,device,macro_f1,macro_f1_low,macro_f1_high,micro_f1,micro_f1_low,micro_f1_high,subset_accuracy,ece,train_seconds,predict_latency_ms,throughput,model_size_mb,cost_usd,n_train,n_test,n_labels,seed
naive_bayes_tfidf,go_emotions,native,tfidf,cpu,0.12903595707148305,0.11859534783037587,0.1395177786129192,0.2930591259640103,0.27943288952843787,0.30669040688161814,0.1986364473926663,0.03337711000789613,1.4185668000136502,0.02310866039875783,43273.81954402487,55.269755363464355,,43410,5427,28,42
logreg_tfidf,go_emotions,native,tfidf,cpu,0.4389966209987138,0.41825477534147626,0.4556689743089069,0.49784648061832554,0.48865865014315274,0.5068085507667152,0.23954302561267735,0.06295808816445163,8.10375379998004,0.01921136907933536,52052.5109829703,12.54495620727539,,43410,5427,28,42
linsvm_tfidf,go_emotions,native,tfidf,cpu,0.29873042129346083,0.27412680702858677,0.3204137702156522,0.4332785987958402,0.42090121199503105,0.44668174212343015,0.28818868619863647,0.003812526248828563,17.5717505000066,0.028073760821659587,35620.45022583778,33.935397148132324,,43410,5427,28,42
random_forest_tfidf,go_emotions,native,tfidf,cpu,0.1766879867194848,0.16166085064728528,0.19118955267370874,0.3709918400183887,0.3586731167933656,0.38443143240525723,0.24009581721024506,0.0028519280368616,186.6880661000032,1.0033074626814926,996.7034405658133,3403.6326866149902,,43410,5427,28,42
