model,dataset,schema,features,device,macro_f1,macro_f1_low,macro_f1_high,micro_f1,micro_f1_low,micro_f1_high,subset_accuracy,ece,train_seconds,predict_latency_ms,throughput,model_size_mb,cost_usd,n_train,n_test,n_labels,seed
hf_bert-base-uncased,go_emotions,native,tfidf,cuda:0,0.4797633205554677,0.4568629632693847,0.4990704236558757,0.5692073685989522,0.5570632996810955,0.5809240059502563,0.45494748479823105,0.01326108153636988,243.10897842422128,0.4197087050340926,2382.6048590504474,417.8013734817505,,43410,5427,28,42
hf_bert-base-uncased,go_emotions,native,tfidf,cuda:0,0.4865158641075088,0.4646139766276324,0.5053383196767961,0.5765977050004188,0.5656174585705073,0.588117082206763,0.4630550948958909,0.012640236350413336,242.2832448296249,0.42765038419169615,2338.3587083409366,417.8013734817505,,43410,5427,28,43
hf_bert-base-uncased,go_emotions,native,tfidf,cuda:0,0.48560741380261196,0.464456536635257,0.5038467930692032,0.5660345835769777,0.5534661764658767,0.5772759891725445,0.4571586511885019,0.013219415706395345,242.24669441953301,0.4182345183576166,2391.003028461026,417.8013734817505,,43410,5427,28,44
hf_distilbert-base-uncased,go_emotions,native,tfidf,cuda:0,0.4862632056204778,0.4643031109658845,0.5049794852836288,0.5594466818420591,0.5479803890314452,0.5721016807960613,0.4446287083103003,0.013403644140850665,129.85688934102654,0.2565436897157898,3897.9715350155107,255.52873134613037,,43410,5427,28,42
hf_distilbert-base-uncased,go_emotions,native,tfidf,cuda:0,0.4655433671071463,0.4451350821516669,0.48571870598591976,0.5594526716896163,0.5482264034634905,0.5714304331637086,0.4405749032614704,0.013222771868484041,129.76048225164413,0.259842031680134,3848.492076258862,255.52873134613037,,43410,5427,28,43
hf_distilbert-base-uncased,go_emotions,native,tfidf,cuda:0,0.4802396181693169,0.4583996677374056,0.4985290798485237,0.5751110337019942,0.5625800517214039,0.5870337150471305,0.4660033167495854,0.012577826661915936,129.70040271431208,0.2513943596650207,3977.8139864891377,255.52873134613037,,43410,5427,28,44
