model,dataset,schema,features,device,macro_f1,macro_f1_low,macro_f1_high,micro_f1,micro_f1_low,micro_f1_high,subset_accuracy,ece,train_seconds,predict_latency_ms,throughput,model_size_mb,cost_usd,n_train,n_test,n_labels,seed
naive_bayes_tfidf,go_emotions->sem_eval_2018_task_1,ekman6,tfidf,cpu,0.2417325481430201,0.2297819041352368,0.2540071602253247,0.3736162361623616,0.36096609766060533,0.3876532516463523,0.24470439456212456,0.05614431836268757,0.7030622400343418,0.008151739590762727,122673.20231048179,15.20913314819336,,43410,3163,7,42
logreg_tfidf,go_emotions->sem_eval_2018_task_1,ekman6,tfidf,cpu,0.3640631875052373,0.35093374851953063,0.37783389577431054,0.41922998574047665,0.40744082564668144,0.432927474200387,0.2254189061018021,0.06749905813952485,1.4239506535232067,0.007775190827818638,128614.20666643036,4.52796745300293,,43410,3163,7,42
linsvm_tfidf,go_emotions->sem_eval_2018_task_1,ekman6,tfidf,cpu,0.24126810465822152,0.22891161944427038,0.2535254971353397,0.35459542375047937,0.3408120406909752,0.36973142845178686,0.2494467277900727,0.11779984014161216,3.8883581832051277,0.010688944949102748,93554.60288753214,9.875967025756836,,43410,3163,7,42
random_forest_tfidf,go_emotions->sem_eval_2018_task_1,ekman6,tfidf,cpu,0.1748013427841261,0.16192678123806264,0.18709975018429043,0.2726934984520124,0.2588288308116292,0.2863875775031933,0.210243439772368,0.13285948122361746,12.631542153656483,0.2007416231305095,4981.527918352355,1869.5482206344604,,43410,3163,7,42
bilstm,go_emotions->sem_eval_2018_task_1,ekman6,tfidf,cuda:0,0.24169166948282203,0.2315080518767907,0.25137925944434797,0.42199669577531274,0.40881503064251407,0.43554458559531783,0.29086310464748655,0.12890595345530242,13.556457672268152,0.019199911821804354,52083.57253309629,14.177212715148926,,43410,3163,7,42
hf_distilbert-base-uncased,go_emotions->sem_eval_2018_task_1,ekman6,tfidf,cuda:0,0.2177727865100663,0.20520943707171058,0.23183349529055317,0.2706766917293233,0.2583562744854902,0.2840019886324011,0.18526715143850775,0.2292761903629328,78.44214288517833,0.235303888969545,4249.823512816774,255.46714687347412,,43410,3163,7,42
hf_bert-base-uncased,go_emotions->sem_eval_2018_task_1,ekman6,tfidf,cuda:0,0.2630769429724592,0.2500550135475531,0.27731255513373354,0.30078974476364884,0.28724506243078984,0.3144198513431202,0.20676572873853935,0.21833314655996858,145.48095402121544,0.38891993027264055,2571.223334579383,417.73978900909424,,43410,3163,7,42
