model,dataset,schema,features,device,macro_f1,macro_f1_low,macro_f1_high,micro_f1,micro_f1_low,micro_f1_high,subset_accuracy,ece,train_seconds,predict_latency_ms,throughput,model_size_mb,cost_usd,n_train,n_test,n_labels,seed
naive_bayes_tfidf,go_emotions,ekman6,tfidf,cpu,0.24468388356056364,0.230783605801627,0.25961004478942873,0.45132075471698113,0.43848288562022075,0.4637343557476565,0.32762115349180027,0.0627501978708217,0.10051826760172844,0.00853586879491762,117152.69107643903,3.554898262023926,,6838,5427,7,42
logreg_tfidf,go_emotions,ekman6,tfidf,cpu,0.4700087487089413,0.45042783536228065,0.48880588891873256,0.5668754459684453,0.5565394054205326,0.577219227921247,0.39800995024875624,0.10671208230328653,0.252406220883131,0.01090079524008767,91736.42637763715,1.052290916442871,,6838,5427,7,42
linsvm_tfidf,go_emotions,ekman6,tfidf,cpu,0.3262766340217315,0.30503028122531983,0.34836165847388967,0.4878323569175304,0.4751047831832673,0.5012905736873857,0.35691910816288924,0.00611664987389075,0.33561382815241814,0.009385397668391802,106548.49536826831,2.311007499694824,,6838,5427,7,42
random_forest_tfidf,go_emotions,ekman6,tfidf,cpu,0.2380092067948017,0.22431062640485247,0.25075270043264364,0.4859665006790403,0.472697965532098,0.4988117011376248,0.35691910816288924,0.008625808878888084,3.2301304638385773,0.08951798726648218,11170.939277523563,269.16456031799316,,6838,5427,7,42
bilstm,go_emotions,ekman6,tfidf,cuda:0,0.22735339614393574,0.21670203764845444,0.23743171681182565,0.4874393075786363,0.47373687448049234,0.5003178914710443,0.3784779804680302,0.02200411888723488,2.7574853114783764,0.02209214596254557,45264.95532373238,5.878384590148926,,6838,5427,7,42
hf_distilbert-base-uncased,go_emotions,ekman6,tfidf,cuda:0,0.5669567302799269,0.5460779454044821,0.5873028996390351,0.6312112479259453,0.6190594966622096,0.642386114272075,0.5516860143725816,0.0655273874502315,21.538685083389282,0.2464448869426057,4057.702362609329,255.46714687347412,,6838,5427,7,42
hf_bert-base-uncased,go_emotions,ekman6,tfidf,cuda:0,0.5619798741866663,0.5414072806605914,0.5808602457602143,0.6369868957736701,0.625302096281897,0.6482023176611319,0.5526073337018611,0.06087780591749707,38.485360722988844,0.42029505831355746,2379.2808890319116,417.73978900909424,,6838,5427,7,42
