model,dataset,schema,features,device,macro_f1,macro_f1_low,macro_f1_high,micro_f1,micro_f1_low,micro_f1_high,subset_accuracy,ece,train_seconds,predict_latency_ms,throughput,model_size_mb,cost_usd,n_train,n_test,n_labels,seed
bilstm,go_emotions,ekman6,tfidf,cuda:0,0.48770912650938936,,,0.5974962063732928,,,0.49917081260364843,0.027277781572053746,13.540733527392149,0.02244691345075316,44549.55476145639,14.177212715148926,,43410,5427,7,42
bilstm,go_emotions,ekman6,tfidf,cuda:0,0.5098813334181569,,,0.6173807523569494,,,0.5177814630550949,0.026230738018660642,12.349840968847275,0.022609552197942247,44229.09358156207,14.177212715148926,,43410,5427,7,43
bilstm,go_emotions,ekman6,tfidf,cuda:0,0.4914146057575471,,,0.6184971098265896,,,0.5192555739819421,0.030406149257598644,12.18242384120822,0.022378156549565497,44686.433298698874,14.177212715148926,,43410,5427,7,44
