model,dataset,schema,features,device,macro_f1,micro_f1,subset_accuracy,ece,train_seconds,predict_latency_ms,throughput,model_size_mb,cost_usd,n_train,n_test,n_labels,seed
naive_bayes_tfidf,go_emotions,native,tfidf,cpu,0.12903595707148305,0.2930591259640103,0.1986364473926663,0.03337711000789613,1.4637069000164047,0.02356077021970159,42443.43417787747,55.269755363464355,,43410,5427,28,42
naive_bayes_tfidf,go_emotions,native,tfidf,cpu,0.12903595707148305,0.2930591259640103,0.1986364473926663,0.03337711000789613,1.5036518999841064,0.023926478721028436,41794.6999915672,55.269755363464355,,43410,5427,28,43
naive_bayes_tfidf,go_emotions,native,tfidf,cpu,0.12903595707148305,0.2930591259640103,0.1986364473926663,0.03337711000789613,1.4484321000054479,0.023452975863245216,42638.51230782057,55.269755363464355,,43410,5427,28,44
naive_bayes_tfidf,go_emotions,native,tfidf,cpu,0.12903595707148305,0.2930591259640103,0.1986364473926663,0.03337711000789613,1.434280299989041,0.02350534364510405,42543.51755492377,55.269755363464355,,43410,5427,28,45
naive_bayes_tfidf,go_emotions,native,tfidf,cpu,0.12903595707148305,0.2930591259640103,0.1986364473926663,0.03337711000789613,1.454580600024201,0.023622203799164028,42333.052771113136,55.269755363464355,,43410,5427,28,46
logreg_tfidf,go_emotions,native,tfidf,cpu,0.4389966209987138,0.49784648061832554,0.23954302561267735,0.06295808816445163,8.105056200001854,0.01891757876546863,52860.887347029784,12.54495620727539,,43410,5427,28,42
logreg_tfidf,go_emotions,native,tfidf,cpu,0.4389966209987138,0.49784648061832554,0.23954302561267735,0.06295808816445163,8.09326350002084,0.018700718622200258,53473.88088139384,12.54495620727539,,43410,5427,28,43
logreg_tfidf,go_emotions,native,tfidf,cpu,0.4389966209987138,0.49784648061832554,0.23954302561267735,0.06295808816445163,8.111063899996225,0.01899858116633368,52635.50952805066,12.54495620727539,,43410,5427,28,44
logreg_tfidf,go_emotions,native,tfidf,cpu,0.4389966209987138,0.49784648061832554,0.23954302561267735,0.06295808816445163,8.128507300047204,0.018446268653660128,54211.5057942398,12.54495620727539,,43410,5427,28,45
logreg_tfidf,go_emotions,native,tfidf,cpu,0.4389966209987138,0.49784648061832554,0.23954302561267735,0.06295808816445163,8.118369399977382,0.01870643081336044,53457.552110142984,12.54495620727539,,43410,5427,28,46
linsvm_tfidf,go_emotions,native,tfidf,cpu,0.29873042129346083,0.4332785987958402,0.28818868619863647,0.003812526248828563,17.617479000007734,0.02832109821517235,35309.365209018404,33.935397148132324,,43410,5427,28,42
linsvm_tfidf,go_emotions,native,tfidf,cpu,0.29873042129346083,0.4332785987958402,0.28818868619863647,0.0038125261963189543,17.73829140001908,0.027887377917910034,35858.5164565713,33.93539810180664,,43410,5427,28,43
linsvm_tfidf,go_emotions,native,tfidf,cpu,0.29873042129346083,0.4332785987958402,0.28818868619863647,0.003812525988316529,17.828198899980634,0.028780412754503503,34745.853318018235,33.93539905548096,,43410,5427,28,44
linsvm_tfidf,go_emotions,native,tfidf,cpu,0.29873042129346083,0.4332785987958402,0.28818868619863647,0.00381252607291162,17.974264499964193,0.028831416994823382,34684.386139590286,33.93539905548096,,43410,5427,28,45
linsvm_tfidf,go_emotions,native,tfidf,cpu,0.29873042129346083,0.4332785987958402,0.28818868619863647,0.0038125257114066304,17.701777500042226,0.02786648239729669,35885.40475768874,33.93539619445801,,43410,5427,28,46
random_forest_tfidf,go_emotions,native,tfidf,cpu,0.1766879867194848,0.3709918400183887,0.24009581721024506,0.0028519280368616,186.9525737000513,0.990424838765439,1009.6677313207293,3403.6326866149902,,43410,5427,28,42
random_forest_tfidf,go_emotions,native,tfidf,cpu,0.1722983120588937,0.3678505535055351,0.23641053989312696,0.0031423520365445037,186.60200139996596,0.9495635157613547,1053.1154403064925,3402.6728286743164,,43410,5427,28,43
random_forest_tfidf,go_emotions,native,tfidf,cpu,0.17467331843219064,0.37026809342998507,0.2378846508199742,0.003083972814844891,186.8671892999555,0.8997736502660503,1111.390625524891,3409.0555992126465,,43410,5427,28,44
random_forest_tfidf,go_emotions,native,tfidf,cpu,0.17077096479679657,0.36912442396313366,0.2378846508199742,0.003008801403581288,187.57957729999907,0.9250516860223469,1081.02067712554,3403.871958732605,,43410,5427,28,45
random_forest_tfidf,go_emotions,native,tfidf,cpu,0.17384082953803612,0.3683360258481422,0.23604201216141515,0.0032371098077121855,187.41840689996025,0.9353180025817981,1069.1550865477382,3399.7208337783813,,43410,5427,28,46
