model,dataset,schema,features,device,macro_f1,macro_f1_low,macro_f1_high,micro_f1,micro_f1_low,micro_f1_high,subset_accuracy,ece,train_seconds,predict_latency_ms,throughput,model_size_mb,cost_usd,n_train,n_test,n_labels,seed
naive_bayes_tfidf,go_emotions->sem_eval_2018_task_1,ekman6,tfidf,cpu,0.2616606793375357,0.2506063671659791,0.2736480126599558,0.3731827214726493,0.3601853924158884,0.38608995285090775,0.22067657287385395,0.04514468880158406,0.09991751983761787,0.006573447275116517,152127.18048039332,3.593197822570801,,6838,3163,7,43
logreg_tfidf,go_emotions->sem_eval_2018_task_1,ekman6,tfidf,cpu,0.26667167423055205,0.25398585322187156,0.27979927829926676,0.3287167279809565,0.31641719866054174,0.3417251228392778,0.19981030667088207,0.047868470015375926,0.2501225695014,0.006252826155268463,159927.68312572176,1.063673973083496,,6838,3163,7,43
linsvm_tfidf,go_emotions->sem_eval_2018_task_1,ekman6,tfidf,cpu,0.1584033347685964,0.14789013305000137,0.16916476912025794,0.27997829625610415,0.2658196296334196,0.2947000242360758,0.21498577300031615,0.12771814412804516,0.31418275833129883,0.007865563567363874,127136.47171440354,2.335848808288574,,6838,3163,7,43
random_forest_tfidf,go_emotions->sem_eval_2018_task_1,ekman6,tfidf,cpu,0.1263716117316549,0.11842420522155891,0.13443081758421735,0.2294436238306253,0.21692126315739524,0.24239470535212507,0.1805248182105596,0.16064667804038385,3.231161765754223,0.17775641474548942,5625.676020928944,270.31247901916504,,6838,3163,7,43
bilstm,go_emotions->sem_eval_2018_task_1,ekman6,tfidf,cuda:0,0.10013323254230189,0.09330920014872103,0.1069397436088338,0.22822902796271638,0.21495629285320345,0.24192750461710547,0.19506797344293392,0.15029562606218078,2.621548358350992,0.01873971421508295,53362.60673575986,5.873990058898926,,6838,3163,7,43
hf_distilbert-base-uncased,go_emotions->sem_eval_2018_task_1,ekman6,tfidf,cuda:0,0.25777332382094625,0.24344530296981254,0.2711168349329001,0.32830361225422955,0.31370304601566384,0.3419380903945574,0.23616819475181788,0.21864747599769413,21.308724209666252,0.23038908745004072,4340.483358253014,255.46714687347412,,6838,3163,7,43
hf_bert-base-uncased,go_emotions->sem_eval_2018_task_1,ekman6,tfidf,cuda:0,0.25320129575213607,0.2396111804589889,0.2652917480123094,0.3069936421435059,0.29390561247719177,0.3200372281254625,0.2048687954473601,0.23296853623158228,38.35734072327614,0.38544608941381203,2594.3965381016164,417.73978900909424,,6838,3163,7,43
