model,dataset,schema,features,device,macro_f1,macro_f1_low,macro_f1_high,micro_f1,micro_f1_low,micro_f1_high,subset_accuracy,ece,train_seconds,predict_latency_ms,throughput,model_size_mb,cost_usd,n_train,n_test,n_labels,seed
naive_bayes_tfidf,go_emotions->sem_eval_2018_task_1,ekman6,tfidf,cpu,0.2677380114859501,0.2553516953933206,0.27999528973599763,0.385038961038961,0.3727405914099123,0.3983880944407359,0.2428074612709453,0.04821555641000972,0.10282716155052185,0.006549895384475245,152674.19421235786,3.6137847900390625,,6838,3163,7,44
logreg_tfidf,go_emotions->sem_eval_2018_task_1,ekman6,tfidf,cpu,0.27054094615859425,0.25751274145843195,0.282920519412814,0.33814432989690724,0.32572589594081663,0.3517127774817882,0.2092949731267784,0.04171800025489074,0.2886190563440323,0.008656067106492377,115525.90659214764,1.0701618194580078,,6838,3163,7,44
linsvm_tfidf,go_emotions->sem_eval_2018_task_1,ekman6,tfidf,cpu,0.16826852640346046,0.15776814875070266,0.17970333712452063,0.29255956342339945,0.2783873380454914,0.30738780887529116,0.22605121719886184,0.12146753199330163,0.4797593839466572,0.008056334234889535,124125.93256984101,2.34938907623291,,6838,3163,7,44
random_forest_tfidf,go_emotions->sem_eval_2018_task_1,ekman6,tfidf,cpu,0.15535935232491613,0.1431401379728033,0.16671436827821803,0.22925842161647422,0.2164942411395519,0.24235800298196328,0.1779955738223206,0.14835656729309496,3.2233172096312046,0.1753503600988741,5702.868242963026,272.4234266281128,,6838,3163,7,44
bilstm,go_emotions->sem_eval_2018_task_1,ekman6,tfidf,cuda:0,0.10282720650474875,0.09911770556283978,0.10681498524514738,0.27110582639714625,0.2576715205807057,0.2844906421492342,0.23427126146063865,0.18488256916439,2.667714234441519,0.019028014937722527,52554.089497666246,5.830044746398926,,6838,3163,7,44
hf_distilbert-base-uncased,go_emotions->sem_eval_2018_task_1,ekman6,tfidf,cuda:0,0.2659047959964053,0.25179817150371664,0.2791663692091187,0.3531296487012244,0.33926416013411637,0.36800833695518664,0.2503951944356623,0.20793561059139057,21.32620592787862,0.2315505158946441,4318.712036275496,255.46714687347412,,6838,3163,7,44
hf_bert-base-uncased,go_emotions->sem_eval_2018_task_1,ekman6,tfidf,cuda:0,0.204623521611762,0.19227117668150284,0.21749934187277747,0.2749605589362182,0.26257369190408913,0.28861915670068344,0.20961112867530826,0.2535328676363543,38.46823472902179,0.38957175007546363,2566.921240583515,417.73978900909424,,6838,3163,7,44
