model,dataset,schema,features,device,macro_f1,macro_f1_low,macro_f1_high,micro_f1,micro_f1_low,micro_f1_high,subset_accuracy,ece,train_seconds,predict_latency_ms,throughput,model_size_mb,cost_usd,n_train,n_test,n_labels,seed
hf_bert-base-uncased,go_emotions,sentiment3,tfidf,cuda:0,0.6811632979317372,,,0.7107830213551278,,,0.6456605859590934,0.06220948600860979,145.62947565689683,0.4250717481317849,2352.5440220270066,417.73099994659424,,43410,5427,4,42
hf_bert-base-uncased,go_emotions,sentiment3,tfidf,cuda:0,0.6846388790023983,,,0.7113564668769716,,,0.6436336834346784,0.0582874638125654,144.09397656470537,0.41720501341300487,2396.90312400457,417.73099994659424,,43410,5427,4,43
hf_bert-base-uncased,go_emotions,sentiment3,tfidf,cuda:0,0.6845466357521519,,,0.7093897534534009,,,0.6344204901418832,0.05465136063945544,144.38397603482008,0.425039541909153,2352.722279692598,417.73099994659424,,43410,5427,4,44
