model,dataset,schema,features,device,macro_f1,macro_f1_low,macro_f1_high,micro_f1,micro_f1_low,micro_f1_high,subset_accuracy,ece,train_seconds,predict_latency_ms,throughput,model_size_mb,cost_usd,n_train,n_test,n_labels,seed
naive_bayes_tfidf,go_emotions,native,tfidf,cpu,0.12885335954926422,0.1185848205850022,0.13936053494957013,0.292693379044354,0.27900865310598977,0.30619805831003255,0.1984521835268104,0.033400122705492655,0.7734508849680424,0.013259490215692683,75417.68075038769,55.27076435089111,,43410,5427,28,42
logreg_tfidf,go_emotions,native,tfidf,cpu,0.43851307611143603,0.4178174712640425,0.4549238266646355,0.49769421780773326,0.4885180501242787,0.5064762757250039,0.24193845586880414,0.06296733791401932,3.751426361501217,0.01100541706987567,90864.34377277964,12.545600891113281,,43410,5427,28,42
linsvm_tfidf,go_emotions,native,tfidf,cpu,0.2989606456571842,0.2743958511033844,0.3210383725143703,0.4332785987958402,0.4209562656895582,0.44659808544597834,0.28800442233278056,0.003815121769185299,13.645302876830101,0.017549310607850407,56982.295336015406,33.9372615814209,,43410,5427,28,42
random_forest_tfidf,go_emotions,native,tfidf,cpu,0.17731763948805135,0.1618005383038954,0.1918732946706971,0.37058349637472665,0.35832119720586464,0.38320748013461214,0.238253178551686,0.003010029996491748,35.184338342398405,0.3945162794043922,2534.7496471114364,3400.215139389038,,43410,5427,28,42
bilstm,go_emotions,native,tfidf,cuda:0,0.2513198931770531,0.23944633602533513,0.261552589680959,0.4636251541307028,0.450926856200515,0.47691415807662035,0.33112216694306246,0.003904414893978637,13.69241976737976,0.023065720069950977,43354.38030841087,14.197781562805176,,43410,5427,28,42
hf_distilbert-base-uncased,go_emotions,native,tfidf,cuda:0,0.4520113773526262,0.43133548302803604,0.4688235549570558,0.5657684724439019,0.5536733656013753,0.5784080081419716,0.4403906393956145,0.003966630559233039,78.96264489740133,0.2589110214340768,3862.3307515497836,255.52873134613037,,43410,5427,28,42
hf_bert-base-uncased,go_emotions,native,tfidf,cuda:0,0.43227747032510794,0.41729216367479366,0.4452235070071681,0.5712170291531699,0.5590802372477438,0.5830953968556923,0.45550027639579876,0.004107430607902527,148.04452821984887,0.42267887892041256,2365.862241695528,417.8013734817505,,43410,5427,28,42
