model,dataset,schema,features,device,macro_f1,micro_f1,subset_accuracy,ece,train_seconds,predict_latency_ms,throughput,model_size_mb,cost_usd,n_train,n_test,n_labels,seed
naive_bayes_bow,go_emotions,native,bow,cpu,0.21510028695737102,0.38682269958319976,0.26920950801547816,0.01970688437189088,1.3775144999963231,0.02348290031768281,42584.17769831403,54.88981533050537,,43410,5427,28,42
logreg_bow,go_emotions,native,bow,cpu,0.4353499107657544,0.5200778101986939,0.3128800442233278,0.002287857748059112,15.485615500016138,0.018352017687214565,54489.92132874182,12.164453506469727,,43410,5427,28,42
linsvm_bow,go_emotions,native,bow,cpu,0.19287845600981574,0.3484228268721406,0.21743136170996868,0.005382402807315593,23.576431500026956,0.028638713835251746,34917.76920404462,33.55862903594971,,43410,5427,28,42
random_forest_bow,go_emotions,native,bow,cpu,0.22128313222777557,0.40966728080632925,0.2712364105398931,0.0028949004311857648,217.58738500002073,0.775935268096069,1288.7672994342993,4160.648446083069,,43410,5427,28,42
