model,dataset,schema,features,device,macro_f1,micro_f1,subset_accuracy,ece,train_seconds,predict_latency_ms,throughput,model_size_mb,cost_usd,n_train,n_test,n_labels,seed
naive_bayes_bow,go_emotions,sentiment3,bow,cpu,0.5777551913409156,0.6116288659793815,0.45734291505435787,0.08996798852596553,1.2178862000000663,0.01759043670672479,56849.07183786414,9.104544639587402,,43410,5427,4,42
logreg_bow,go_emotions,sentiment3,bow,cpu,0.6178574804355887,0.6511437908496732,0.5037774092500461,0.033449670704018254,5.467495300050359,0.016515017511992025,60550.950023145386,3.0010547637939453,,43410,5427,4,42
linsvm_bow,go_emotions,sentiment3,bow,cpu,0.43079069454400476,0.5307262569832403,0.3956145199926294,0.02556009534947089,6.895633300009649,0.01846878569791451,54145.41141775877,6.057480812072754,,43410,5427,4,42
random_forest_bow,go_emotions,sentiment3,bow,cpu,0.49048809558130363,0.5824096135916296,0.46010687304219644,0.014410701987282526,79.68333119997988,0.0790018242168969,12657.935559241429,1821.901364326477,,43410,5427,4,42
